Title,Authors,Abstract,Publication Date,Journal,DOI,Citations
"Green Software Process Based on Sustainability, Waste and Evaluation Theory Approach: The Conceptual Model","{'authors': [{'affiliation': 'Faculty of Information Science and Technology, Universiti Kebangsaan Malaysia, Bangi, Selangor, Malaysia', 'authorUrl': 'https://ieeexplore.ieee.org/author/37087500354', 'id': 37087500354, 'full_name': 'Siti Rohana Ahmad Ibrahim', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Faculty of Information Science and Technology, Universiti Kebangsaan Malaysia, Bangi, Selangor, Malaysia']}}, {'affiliation': 'Faculty of Information Science and Technology, Uni. Kebangsaan Malaysia, Bangi, Selangor, Malaysia', 'authorUrl': 'https://ieeexplore.ieee.org/author/37546902900', 'id': 37546902900, 'full_name': 'Jamaiah Yahaya', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Faculty of Information Science and Technology, Uni. Kebangsaan Malaysia, Bangi, Selangor, Malaysia']}}, {'affiliation': 'Faculty of Information Science and Technology, Uni. Kebangsaan Malaysia, Bangi, Selangor, Malaysia', 'authorUrl': 'https://ieeexplore.ieee.org/author/37087503078', 'id': 37087503078, 'full_name': 'Hasimi Sallehudin', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Faculty of Information Science and Technology, Uni. Kebangsaan Malaysia, Bangi, Selangor, Malaysia']}}]}","Green technology is the solution that responds to the environment and meets development needs. Climate change has led to an increasing global need to develop green and sustainable technology with economic development, employment opportunities, and long-term investment. Nowadays, people are increasingly responsive to the importance of green and sustainability. It has become progressively crucial to the government, business, products, and software industry. Green software engineering is proposed for software development to provide environmental awareness and also less waste generation throughout the development process. The current green software process model only concentrated on environmental and economic elements and was not integrated with waste elements in the development phase. Model development often consists of smaller component models, each representing a specific domain based on sustainability elements and waste elimination. Organisations and industries conducted assessments to determine the level of the greenness of a development process in their real environment. This paper presents the concept of the theory evaluation approach in the green software process, which focuses on the components and factors embedded in this model.",14-16 Nov. 2022,2022 IEEE International Conference on Computing (ICOCO),10.1109/ICOCO56118.2022.10031699,1
Protection of memory using code redundancies a survey,"{'authors': [{'affiliation': 'Karpagam College Of Engineering Coimbatore, India', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085776225', 'id': 37085776225, 'full_name': 'K. Preethi', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Karpagam College Of Engineering Coimbatore, India']}}, {'affiliation': 'Karpagam College Of Engineering Coimbatore, India', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085443734', 'id': 37085443734, 'full_name': 'T. Karthik', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Karpagam College Of Engineering Coimbatore, India']}}]}","The issue of soft errors is an important emerging concern in the design and implementation of microprocessors. It is necessary to protect memory cells using Error Detection and error correction (ECC) codes such as hamming codes, Parity Matrix codes, Reed-Solomon codes, Punctured difference set (PDS) codes, LDPC codes and so on. The main problem is that they require complex architecture, higher delay overhead and more redundant bits. In this paper, a survey of such codes and their issues are presented. This paper is based on Decimal matrix code (DMC) with Encoder Reuse Technique (ERT) used to minimize area overhead.",27-27 Nov. 2015,2015 Online International Conference on Green Engineering and Technologies (IC-GET),10.1109/GET.2015.7453847,0
Green computing and Software Defects in open source software: An Empirical study,"{'authors': [{'affiliation': 'Department of Computing Science, Thompson Rivers University, Kamloops, Canada', 'authorUrl': 'https://ieeexplore.ieee.org/author/37302144000', 'id': 37302144000, 'full_name': 'Faheem Ahmed', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Department of Computing Science, Thompson Rivers University, Kamloops, Canada']}}, {'affiliation': 'Department of Electronics, Quaid-e-Azam University, Islamabad, Pakistan', 'authorUrl': 'https://ieeexplore.ieee.org/author/38603936100', 'id': 38603936100, 'full_name': 'Hasan Mahmood', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Department of Electronics, Quaid-e-Azam University, Islamabad, Pakistan']}}, {'affiliation': 'Department of Electronics, Quaid-e-Azam University, Islamabad, Pakistan', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085552650', 'id': 37085552650, 'full_name': 'Adeel Aslam', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Department of Electronics, Quaid-e-Azam University, Islamabad, Pakistan']}}]}","Overtime open source software (OSS) is receiving attention from industry. The growth rate is unprecedented. The software industry is inclining towards adopting OSS despite concerns about the quality. Defect management has been a key issue in OSS. Software whether it is close or open source uses energy. Green computing argued that environmental conditions are getting worst and use of power consumptions should be minimized to protect the earth. A lot of work has been reported in the area of green hardware but very little work has been reported in making software green. The main objective this work is to increase understanding of green software development. In this study, we empirically investigate that whether there is relationship between defect management in OSS and power consumption of OSS application. We used a dataset consist of 82 OSS projects to study the research model of this investigation. The results of this investigation show that software defect management in OSS play a significant role in managing power consumption of OSS applications.",18-20 Dec. 2014,2014 International Conference on Open Source Systems & Technologies,10.1109/ICOSST.2014.7029322,3
Concatenated RS-LDPC Coding for Water-to-Air Visible Light Communication Through Wavy Water Surface,"{'authors': [{'affiliation': 'Key Laboratory of Wireless-Optical Communications, Chinese Academy of Sciences, School of Information Science and Technology, University of Science and Technology of China, Hefei, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089165770', 'id': 37089165770, 'full_name': 'Chunfang Fu', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Key Laboratory of Wireless-Optical Communications, Chinese Academy of Sciences, School of Information Science and Technology, University of Science and Technology of China, Hefei, China']}}, {'affiliation': 'Key Laboratory of Wireless-Optical Communications, Chinese Academy of Sciences, School of Information Science and Technology, University of Science and Technology of China, Hefei, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085365996', 'id': 37085365996, 'full_name': 'Chen Gong', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Key Laboratory of Wireless-Optical Communications, Chinese Academy of Sciences, School of Information Science and Technology, University of Science and Technology of China, Hefei, China']}}, {'affiliation': 'Key Laboratory of Wireless-Optical Communications, Chinese Academy of Sciences, School of Information Science and Technology, University of Science and Technology of China, Hefei, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085353716', 'id': 37085353716, 'full_name': 'Nuo Huang', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Key Laboratory of Wireless-Optical Communications, Chinese Academy of Sciences, School of Information Science and Technology, University of Science and Technology of China, Hefei, China']}}, {'affiliation': 'National Mobile Communications Research Laboratory, Southeast University, Nanjing, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086995759', 'id': 37086995759, 'full_name': 'Jianghua Luo', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': ['National Mobile Communications Research Laboratory, Southeast University, Nanjing, China', 'School of Physics and Optoelectronic Engineering, Yangtze University, Jingzhou, China']}}, {'affiliation': 'Key Laboratory of Wireless-Optical Communications, Chinese Academy of Sciences, School of Information Science and Technology, University of Science and Technology of China, Hefei, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085336087', 'id': 37085336087, 'full_name': 'Zhengyuan Xu', 'author_order': 5, 'authorAffiliations': {'authorAffiliation': ['Key Laboratory of Wireless-Optical Communications, Chinese Academy of Sciences, School of Information Science and Technology, University of Science and Technology of China, Hefei, China']}}]}","Considering large variation range of water-to-air (W2A) channel, we adopt concatenated Reed Solomon-Low Density Parity Check (RS-LDPC) code for W2A visible light communication (VLC), where LDPC code is adopted for error-correcting and RS code is adopted for erasure-correcting caused by LDPC decoding failure. A W2A-VLC link is established using green light emitting diode (LED) to investigate the code performance under wavy water surface condition. We test two coding schemes with different lengths and rates under 10 MSym/s transmission symbol rate. Experimental results show that the concatenated RS-LDPC code can improve the reliability of the W2A-VLC system.",20-22 Oct. 2021,2021 13th International Conference on Wireless Communications and Signal Processing (WCSP),10.1109/WCSP52459.2021.9613593,1
Green Applications Awareness: NonLinear Energy Consumption Model for Green Evaluation,"{'authors': [{'affiliation': 'Dept. of Computer Science, University of Béjaia, Béjaia, Algeria', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085436360', 'id': 37085436360, 'full_name': 'Mohamed Amine Beghoura', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Dept. of Computer Science, University of Béjaia, Béjaia, Algeria']}}, {'affiliation': 'Dept. of Computer Science, University of Béjaia, Béjaia, Algeria', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085405953', 'id': 37085405953, 'full_name': 'Abdelhak Boubetra', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Dept. of Computer Science, University of Béjaia, Béjaia, Algeria']}}, {'affiliation': 'Dept. of Computer Science, University of Béjaia, Béjaia, Algeria', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085675988', 'id': 37085675988, 'full_name': 'Abdallah Boukerram', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Dept. of Computer Science, University of Béjaia, Béjaia, Algeria']}}]}","Green IT' practices seek to enhance the sustainability of the information technology infrastructures and devices (platforms) to reach the good environmental, social and economic expectations. This enhancement could be achieved by eliminating or reducing the negative impact of IT on the environment through detecting the negative defects and exploiting the efficient green practices and guidelines to implement an eco-friendly green solution. However, it is primordial to detect these defects and collect the necessary knowledge about the negative impact on the environment. Especially, the impact related to the energy consumption in such platforms via measurement tools and metrics. In this paper, we propose a solution to measure the energy consumption of the mobile applications running on battery by establishing a nonlinear energy consumption model of the platform using the machine learning support vector machine (SVM) algorithm with the Gaussian Kernel. Our model will be further deployed to estimate the energy consumption at the application level based on the application's usage of resources such as the processor, the memory and the communication network interfaces.",10-12 Sept. 2014,"2014 Eighth International Conference on Next Generation Mobile Apps, Services and Technologies",10.1109/NGMAST.2014.33,1
Enhanced Successive Cancellation for Decoding of Polar Codes with Very Low Latency through Multiple Parity Checks,"{'authors': [{'affiliation': 'Dept. of Electronic and Computer Engineering, National Taiwan Univ. of Science and Technology, Taipei, Taiwan', 'authorUrl': 'https://ieeexplore.ieee.org/author/37332369300', 'id': 37332369300, 'full_name': 'Kuen-Tsair Lay', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Dept. of Electronic and Computer Engineering, National Taiwan Univ. of Science and Technology, Taipei, Taiwan', 'Dept. of Electronic and Computer Engineering, National Taiwan Univ. of Science and Technology, Taipei, Taiwan, ROC']}}, {'affiliation': 'Dept. of Electronic and Computer Engineering, National Taiwan Univ. of Science and Technology, Taipei, Taiwan', 'authorUrl': 'https://ieeexplore.ieee.org/author/37087081268', 'id': 37087081268, 'full_name': 'Chin-Hsin Chang', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Dept. of Electronic and Computer Engineering, National Taiwan Univ. of Science and Technology, Taipei, Taiwan', 'Dept. of Electronic and Computer Engineering, National Taiwan Univ. of Science and Technology, Taipei, Taiwan, ROC']}}]}","The class of polar codes is the latest development in the field of error correcting for digital communications. One problem with polar codes is that they suffer long latency in the decoding due to the successive-cancellation (SC) nature in the decision process. Various methods have been proposed to ease this problem. In particular, a scheme called simplified successive cancellation (SSC) was proposed shortly after the introduction of polar codes. Then, an improved version of SSC, which is referred to as fast simplified successive cancellation (FSSC) in this paper, was proposed. In this paper, some ideas in SSC and FSSC are further extended to enable even faster decoding of polar codes. We refer to this this newly proposed scheme as enhanced fast simplified successive cancellation (EFSSC). Its computation latency is analyzed and compared to SC, SSC, and FSSC. Moreover, its BLER (block error rate) performance is also presented.",6-9 Sept. 2019,2019 4th International Conference on Intelligent Green Building and Smart Grid (IGBSG),10.1109/IGBSG.2019.8886186,0
Developing green and sustainable software: Success factors for vendors,"{'authors': [{'affiliation': 'Department of Computer Science and IT, University of Malakand, Pakistan', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086040444', 'id': 37086040444, 'full_name': 'Muhammad Salam', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Department of Computer Science and IT, University of Malakand, Pakistan']}}, {'affiliation': 'Department of Computer Science and IT, University of Malakand, Pakistan', 'authorUrl': 'https://ieeexplore.ieee.org/author/37666611700', 'id': 37666611700, 'full_name': 'Siffat Ullah Khan', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Department of Computer Science and IT, University of Malakand, Pakistan']}}]}","Software plays an important role in various aspects of our life. However, recent software development practices have substantial negative impacts (direct and indirect) on economy, society, human beings, and environment. To cope with these issues the concept of Green Software Engineering has boomed recently. Green and sustainable software development aims to create green software that meets the needs of current and future users while minimizing its negative impacts on the environment and society. Green software development is getting attention in Global Software Engineering (GSE). Software development multi-sourcing vendor organizations have focused on the adaptation of green practices in software development projects. The objectives of this study are to identify and scrutinize a list of critical success factors (CSFs) for vendors in the development of green and sustainable software. The required data for conducting the study was taken, via systematic literature review (SLR) process, from a sample of 74 research papers. The SLR findings reveal that `green software design and efficient coding', `power-saving software strategies ', `low carbon emission throughout the software development process', `efficient resource utilization', `paperless communication', `filtration of requirements through green evaluator and e-waste management' are the critical factors to be implanted by vendors in the development of green and sustainable software.",26-28 Aug. 2016,2016 7th IEEE International Conference on Software Engineering and Service Science (ICSESS),10.1109/ICSESS.2016.7883248,7
A grey-based carbon management model for green supplier selection,"{'authors': [{'affiliation': 'Industrial Management Department, University of Tehran, Tehran, Iran', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086673720', 'id': 37086673720, 'full_name': 'Seyed Hamid Hashemi', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Industrial Management Department, University of Tehran, Tehran, Iran']}}, {'affiliation': 'Industrial Management Department, University of Tehran, Tehran, Iran', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086676681', 'id': 37086676681, 'full_name': 'Amir Karimi', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Industrial Management Department, University of Tehran, Tehran, Iran']}}, {'affiliation': 'Industrial Management Department, University of Tehran, Tehran, Iran', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086676449', 'id': 37086676449, 'full_name': 'Naghme Aghakhani', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Industrial Management Department, University of Tehran, Tehran, Iran']}}, {'affiliation': 'Nautical Science Chabahar Maritime University, Chabahar, Iran', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086671973', 'id': 37086671973, 'full_name': 'Payam Kalantar', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': ['Nautical Science Chabahar Maritime University, Chabahar, Iran']}}]}","Green supply chain management has received much attention from scholars and practitioners over the past decade due to the increased emphasis on environmental issues from governments, customers, employees, competitors, and communities. Although a number of studies have addressed supplier selection problems from an environmental perspective, consideration of carbon management for supplier evaluation has rarely been discussed in the literature. Therefore, this study intends to develop a grey-based carbon management model for supplier selection in a green supply chain. Since decision-making in supplier selection generally deals with uncertain and incomplete information, we made use of an improved grey relational analysis in order to evaluate and select the most appropriate supplier. A numerical example is presented to show the efficacy of the proposed approach in supplier evaluations. The proposed approach in this study is novel and can be applied to other decision-making problems. Recommendations for future studies are presented in the final section.",15-17 Nov. 2013,Proceedings of 2013 IEEE International Conference on Grey systems and Intelligent Services (GSIS),10.1109/GSIS.2013.6714815,8
"A Case-Study of Green Roof Monitoring: The Building of Council for Agricultural Research and Economics in Bagheria, (Italy)","{'authors': [{'affiliation': ""Dipartimento di Energia, ingegneria dell'Informazione e modelli, Matematici Università degli Studi di Palermo, Palermo, Italy"", 'authorUrl': 'https://ieeexplore.ieee.org/author/37085840654', 'id': 37085840654, 'full_name': 'Maria La Gennusa', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': [""Dipartimento di Energia, ingegneria dell'Informazione e modelli, Matematici Università degli Studi di Palermo, Palermo, Italy""]}}, {'affiliation': ""Dipartimento di Energia, ingegneria dell'Informazione e modelli, Matematici Università degli Studi di Palermo, Palermo, Italy"", 'authorUrl': 'https://ieeexplore.ieee.org/author/37085843236', 'id': 37085843236, 'full_name': 'Giorgia Peri', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': [""Dipartimento di Energia, ingegneria dell'Informazione e modelli, Matematici Università degli Studi di Palermo, Palermo, Italy""]}}, {'affiliation': 'Universita degli Studi di Palermo, Palermo, Sicilia, IT', 'authorUrl': 'https://ieeexplore.ieee.org/author/37400704200', 'id': 37400704200, 'full_name': 'Gianluca Scaccianoce', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Universita degli Studi di Palermo, Palermo, Sicilia, IT']}}, {'affiliation': ""Dipartimento di Energia, ingegneria dell'Informazione e modelli, Matematici Università degli Studi di Palermo, Palermo, Italy"", 'authorUrl': 'https://ieeexplore.ieee.org/author/37086482386', 'id': 37086482386, 'full_name': 'Giancarlo Sorrentino', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': [""Dipartimento di Energia, ingegneria dell'Informazione e modelli, Matematici Università degli Studi di Palermo, Palermo, Italy""]}}, {'affiliation': ""Consiglio per la Ricerche in Agricoltura e l'analisi dell'Economia Agraria (CREA), Centro di Ricerca Difesa e Certificazione sede, Bagheria, PA, Italy"", 'authorUrl': 'https://ieeexplore.ieee.org/author/37086485583', 'id': 37086485583, 'full_name': 'Simona Aprile', 'author_order': 5, 'authorAffiliations': {'authorAffiliation': [""Consiglio per la Ricerche in Agricoltura e l'analisi dell'Economia Agraria (CREA), Centro di Ricerca Difesa e Certificazione sede, Bagheria, PA, Italy""]}}]}","The energy saving in building goes on as an important challenge in the policy of Developed Countries. While the issue of energy building efficiency in heating season has deeply been investigated for a long time the issue of energy building efficiency in cooling season is relatively recent. Moreover considering the increase of electric consumption for air-conditioning in summer mainly due to the growing quality of life the research of technologies for reducing energy building consumption during this season becomes essential. The green roof represents a technology useful to reduce the energy consumption during the cooling season. In this work the authors report the results of a monitoring campaign of temperature through a green roof that is installed in a building situ in a town close to Palermo, South of Italy.",12-15 June 2018,2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC / I&CPS Europe),10.1109/EEEIC.2018.8494423,2
Key techniques in green communication,"{'authors': [{'affiliation': 'Department of physical Education, Central China Normal University, Wuhan, Hubei, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/38067042900', 'id': 38067042900, 'full_name': 'Fu Chuan', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Department of physical Education, Central China Normal University, Wuhan, Hubei, China']}}, {'affiliation': 'Department of physical Education, Central China Normal University, Wuhan, Hubei, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37888201700', 'id': 37888201700, 'full_name': 'Liu Anqing', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Department of physical Education, Central China Normal University, Wuhan, Hubei, China']}}]}","With the rapid increase of modern communication networks, the environmental problem has emerged. Reducing the emission of CO2 has been considered as an important goal in future green communication system design. This paper presents an introduction to the opportunities and challenges in green communication and discusses the key techniques in current research including cognitive networks, network coding and smart grid.",16-18 April 2011,"2011 International Conference on Consumer Electronics, Communications and Networks (CECNet)",10.1109/CECNET.2011.5769068,15
Scaffolded Live Coding: A Hybrid Pedagogical Approach for Enhanced Teaching of Coding Skills,"{'authors': [{'affiliation': 'Computer Science Department, Northern Kentucky University, Kentucky, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086278992', 'id': 37086278992, 'full_name': 'Ankur Chattopadhyay', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Computer Science Department, Northern Kentucky University, Kentucky, USA']}}, {'affiliation': 'Computer Science Department, University of Wisconsin, Green Bay, Wisconsin, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089618685', 'id': 37089618685, 'full_name': 'Drew Ryan', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Computer Science Department, University of Wisconsin, Green Bay, Wisconsin, USA']}}, {'affiliation': 'Computer Science Department, University of Wisconsin, Green Bay, Wisconsin, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089622499', 'id': 37089622499, 'full_name': 'James Pockrandt', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Computer Science Department, University of Wisconsin, Green Bay, Wisconsin, USA']}}]}","This Full paper in the Innovative Practice Category describes a novel research study that is based upon an experimental scaffolding of live coding techniques used towards teaching a traditional face to face undergrad computer programming class. It discusses our hybrid pedagogical model, which comprises of a scaffolded collection of our class instructional methods that include fine blend of live coding-based teaching strategies, and traditional lectures. Our combination of live coding styles, as used in this study, consists of the standard live coding technique and our live secure coding demonstrations, which lead to a uniquely blended and integrated live coding approach for teaching coding along with software security concepts. To our knowledge, this is a new research study based upon a hybrid, integrated live coding approach that represents a scaffolding of distinct teaching styles, which combines coding instructions with teaching of secure coding components. We demonstrate an improvised teaching model that enhances the classical live coding pedagogy by adding the live secure coding components, which holistically represent a new variant in a traditional undergrad coding class, for an engaged and enhanced learning experience. Existing literature indicates that there is limited number of prior educational research studies on the usage of a hybrid, non-traditional live secure coding approach blended with the traditional live coding style. Thus, this paper discusses a fresh, nifty teaching strategy that involves new variants of the standard live coding instructional method and forms a hybrid pedagogical model for a more effective and relatable learning of coding skills. We discuss the results of our experimental study in the form of data obtained over a couple of semesters from an upper-level undergrad coding class through learning assessments and collected survey data on learner experiences. We have analyzed the overall gathered learner data to evaluate the performance of our new hybrid model of scaffolded live coding techniques. This paper discusses our overall hybrid pedagogical approach through a scaffolding of traditional and non-traditional live coding styles for teaching coding plus software security topics. It analyzes our obtained learner assessment data plus enhanced student learning experiences, based upon the inclusion of secure code design lessons and code vulnerability hacking plus exploitation demos.",8-11 Oct. 2022,2022 IEEE Frontiers in Education Conference (FIE),10.1109/FIE56618.2022.9962513,1
Green and Sustainable Software Model for IT Enterprises,"{'authors': [{'affiliation': 'School of Business Studies, Sharda University, Greater Noida', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089027802', 'id': 37089027802, 'full_name': 'Satendar Singh', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['School of Business Studies, Sharda University, Greater Noida']}}, {'affiliation': 'Department of Commerce, CHRIST (Deemed to be University), Ghaziabad', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089252250', 'id': 37089252250, 'full_name': 'Akhilesh Tiwari', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Department of Commerce, CHRIST (Deemed to be University), Ghaziabad']}}, {'affiliation': 'Department of Commerce, CHRIST (Deemed to be University), Ghaziabad', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089248026', 'id': 37089248026, 'full_name': 'Sanjay Rastogi', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Department of Commerce, CHRIST (Deemed to be University), Ghaziabad']}}, {'affiliation': 'Department of Commerce, Hemvati Nandan Bahuguna, Garhwal University, Srinagar, Uttrakhand', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089027527', 'id': 37089027527, 'full_name': 'Vaibhav Sharma', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': ['Department of Commerce, Hemvati Nandan Bahuguna, Garhwal University, Srinagar, Uttrakhand']}}]}","The present study is based on developing a Green and Sustainable software because in the present-day computing devices are used for all kinds of purposes and they consume a lot of energy to perform these services. The ICT sector itself consumes a lot of energy so there is a need to think of alternatives that can reduce the level of energy consumption, thus, green ICT practice can be a good option. There is, however, a scarcity of researches that explains how the maintenance of green knowledge in ICT software development may be implemented. Since we recognize that software development process (SDL) plays an essential role in enabling the ICT community, uncontrolled green knowledge in developing software that would lead to the dilemma of failing to satisfy both the community's business and environmental requirements. Therefore, this research will concentrate on presenting a methodology applying an innovative model for managing the green software development and implementation. Keeping this concern in mind the present paper is going to provide a Green and Sustainable software model which can be used in green ICT practices and will be helpful in reducing the energy consumption used by computers.",2-4 Dec. 2021,"2021 5th International Conference on Electronics, Communication and Aerospace Technology (ICECA)",10.1109/ICECA52323.2021.9675938,1
How to measure energy-efficiency of software: Metrics and measurement results,"{'authors': [{'affiliation': 'Trier University of Applied Sciences, Germany', 'authorUrl': 'https://ieeexplore.ieee.org/author/37888119400', 'id': 37888119400, 'full_name': 'Timo Johann', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Trier University of Applied Sciences, Germany']}}, {'affiliation': 'Trier University of Applied Sciences, Germany', 'authorUrl': 'https://ieeexplore.ieee.org/author/37902952100', 'id': 37902952100, 'full_name': 'Markus Dick', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Trier University of Applied Sciences, Germany']}}, {'affiliation': 'Trier University of Applied Sciences, Germany', 'authorUrl': 'https://ieeexplore.ieee.org/author/37902379800', 'id': 37902379800, 'full_name': 'Stefan Naumann', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Trier University of Applied Sciences, Germany']}}, {'affiliation': 'Trier University of Applied Sciences, Germany', 'authorUrl': 'https://ieeexplore.ieee.org/author/37886161300', 'id': 37886161300, 'full_name': 'Eva Kern', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': ['Trier University of Applied Sciences, Germany']}}]}","In the field of information and computer technology (ICT), saving energy has its focus set on energy efficient hardware and its operation. Recently, efforts have also been made in the area of computer software. However, the development of energy efficient software requires metrics, which measure the software's energy consumption as well as models to monitor and minimize it. In software and software development processes they hardly exist. In this work we present a generic metric to measure software and a method to apply it in a software engineering process.",3-3 June 2012,2012 First International Workshop on Green and Sustainable Software (GREENS),10.1109/GREENS.2012.6224256,25
Hybrid Parity-Check and CRC Aided SCL Decoding for Polar Codes,"{'authors': [{'affiliation': 'UESTC, National Key Lab of Science and Technology on Communications, Chengdu, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/38106292400', 'id': 38106292400, 'full_name': 'Qingping Yu', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['UESTC, National Key Lab of Science and Technology on Communications, Chengdu, China', 'Science and Technology on Info. Transmission and Dissemination in Comm. Networks Lab, Shijiazhuang, China']}}, {'affiliation': 'UESTC, National Key Lab of Science and Technology on Communications, Chengdu, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37404130100', 'id': 37404130100, 'full_name': 'Zhiping Shi', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['UESTC, National Key Lab of Science and Technology on Communications, Chengdu, China']}}, {'affiliation': 'UESTC, National Key Lab of Science and Technology on Communications, Chengdu, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086097630', 'id': 37086097630, 'full_name': 'Qinhuai Yan', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['UESTC, National Key Lab of Science and Technology on Communications, Chengdu, China']}}, {'affiliation': 'UESTC, National Key Lab of Science and Technology on Communications, Chengdu, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37279637700', 'id': 37279637700, 'full_name': 'Zhongpei Zhang', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': ['UESTC, National Key Lab of Science and Technology on Communications, Chengdu, China']}}]}","Polar codes under cyclic redundancy check-aided successive cancellation list (CA-SCL) decoding can outperform the turbo codes and the LDPC codes at the cost of high complexity and decoding delay. In order to reduce the decoding complexity, in this paper we propose a hybrid parity-check and CRC aided SCL decoding scheme for polar codes. Simulation results under the binary input additive white Gaussian noise channels (BI-AWGNs) show that, the proposed approach successfully provides over 20% complexity reduction, and 0.2dB performance gain over the traditional CA-SCL scheme with short codeword length at the block error probability (BLER) of 10-2.",15-18 Dec. 2016,"2016 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)",10.1109/iThings-GreenCom-CPSCom-SmartData.2016.152,1
